direccion,precio,moneda,tipo,operacion,ciudad,barrio,m2_totales,m2_cubiertos,m2_terreno,m2_descubierta,ambientes,dormitorios,banos,cant_plantas,expensas,descripcion,lat,lng,antiguedad,piso,cochera,balcon,jardin,parrilla,pileta,apto_banco,permuta,fotos
"Alvear y balcarce lote 10,40 x 37,74",57000,USD,Terreno,Venta,La Plata,Dolores,385,1,,,2,0,1,,,"Alvear y balcarce lote 10,40 x 37,74 zona de las termas de dolores",,,,,no,no,no,no,no,no,no,
"64 e/ 1 y 2 , Piso 2",22000,USD,Depto,Venta,La Plata,Sin barrio,0,0,,,2,0,1,,,"Oportunidad, inversion. Departamento monoambiente con cocina separada, 2do. Piso por escalera, cercania facultades, centro de la cuidad, organismos publicos, omnibus , hospital ,. Servicios, agua, luz, gas natural.",,,1 años,,no,no,no,no,no,no,no,
67 y 141,90000,USD,Casa,Venta,La Plata,Los Hornos,0,0,,,2,0,1,1,,"Casa lote 200 mts cuadrados aprox, la propiedad se encuentra al frente y consta de : jardin al frente y garage cubierto , ingreso por living comedor amplio, cocina contrafrente, posee dos dormitorios, uno al frente y otro a contrafrente y baño principal. Patio donde se encuentra un quincho cerrado con sus instalaciones correspondientes. No apto banco. Se aceptan permutas por el 50 por ciento de su valor.",,,,,si,no,no,no,no,no,si,
Zona 42 y 197,50000,USD,Casa,Venta,La Plata,Lisandro Olmos,300,100,300,200,4,3,1,1,,Permuta mar del plata apta banco,,,30 años,,no,no,no,si,no,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888222/comesana-propiedades/argenprop-17505423-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888224/comesana-propiedades/argenprop-17505423-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888226/comesana-propiedades/argenprop-17505423-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888228/comesana-propiedades/argenprop-17505423-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888231/comesana-propiedades/argenprop-17505423-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888232/comesana-propiedades/argenprop-17505423-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888235/comesana-propiedades/argenprop-17505423-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888237/comesana-propiedades/argenprop-17505423-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888239/comesana-propiedades/argenprop-17505423-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888240/comesana-propiedades/argenprop-17505423-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888242/comesana-propiedades/argenprop-17505423-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888245/comesana-propiedades/argenprop-17505423-11.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888247/comesana-propiedades/argenprop-17505423-12.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888249/comesana-propiedades/argenprop-17505423-13.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888250/comesana-propiedades/argenprop-17505423-14.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888252/comesana-propiedades/argenprop-17505423-15.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888256/comesana-propiedades/argenprop-17505423-16.webp
65 136 y 137 al 1300,910,ARS,Galpon,Alquiler,La Plata,Los Hornos,270,195,,75,2,0,1,,,"Alquiler de galpón para depósito, apto habilitación, medidas: 7.70 m x 25 m, con ingreso de camión cubierto, tinglado con altura de 6 m. Opción: instalación trifásica y gas natural. Alquiler $1.300.000 , contrato por 24 meses, actualización semestral. Consulte requisitos paola comesaña propiedades colegiado 7470. /",,,15 años,,no,no,no,no,no,no,no,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888258/comesana-propiedades/argenprop-19701088-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888260/comesana-propiedades/argenprop-19701088-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888262/comesana-propiedades/argenprop-19701088-2.webp
515 NRO 5577 167 Y 168,11000,USD,Terreno,Venta,La Plata,Sin barrio,200,12,,,2,0,1,,,"Importante lote con escritura toma valores permuta financia fraccion 60 x 38,64 total 2.317 m2 o salen 5 lotes 12 x 38, 6 igual a 463,68 ms",,,,,no,no,no,no,no,no,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888265/comesana-propiedades/argenprop-10866909-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888267/comesana-propiedades/argenprop-10866909-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888269/comesana-propiedades/argenprop-10866909-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888271/comesana-propiedades/argenprop-10866909-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888273/comesana-propiedades/argenprop-10866909-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888275/comesana-propiedades/argenprop-10866909-5.webp
"Av. Peralta Ramos y Ayacucho 600, Piso 2",45000,USD,Depto,Venta,Mar del Plata,La Perla,23,23,,,2,1,1,,$ 70.000,Departamento reciclado frente al mar retasado 32.500 dolares todo electrico,-34.60368,-58.38212,40 años,,no,no,no,no,no,si,no,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888278/comesana-propiedades/argenprop-9707279-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888279/comesana-propiedades/argenprop-9707279-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888281/comesana-propiedades/argenprop-9707279-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888283/comesana-propiedades/argenprop-9707279-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888285/comesana-propiedades/argenprop-9707279-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888286/comesana-propiedades/argenprop-9707279-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888288/comesana-propiedades/argenprop-9707279-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888291/comesana-propiedades/argenprop-9707279-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888292/comesana-propiedades/argenprop-9707279-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888294/comesana-propiedades/argenprop-9707279-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888296/comesana-propiedades/argenprop-9707279-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888297/comesana-propiedades/argenprop-9707279-11.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888299/comesana-propiedades/argenprop-9707279-12.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888301/comesana-propiedades/argenprop-9707279-13.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888303/comesana-propiedades/argenprop-9707279-14.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888304/comesana-propiedades/argenprop-9707279-15.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888306/comesana-propiedades/argenprop-9707279-16.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888308/comesana-propiedades/argenprop-9707279-17.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888309/comesana-propiedades/argenprop-9707279-18.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888311/comesana-propiedades/argenprop-9707279-19.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888312/comesana-propiedades/argenprop-9707279-20.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888314/comesana-propiedades/argenprop-9707279-21.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888316/comesana-propiedades/argenprop-9707279-22.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888318/comesana-propiedades/argenprop-9707279-23.webp
"CALLE 68 147 Y 148 NRO 2600 2600, Piso 0",44000,USD,PH,Venta,La Plata,Los Hornos,135,55,,80,4,2,1,1,,Retasada toma permuta antes 55.000 ahora retasada marzo 2024 retasada 37.000 dolares permuta menor valor,-34.965492,-57.9739,10 años,,si,no,si,no,no,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888320/comesana-propiedades/argenprop-10866889-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888322/comesana-propiedades/argenprop-10866889-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888323/comesana-propiedades/argenprop-10866889-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888330/comesana-propiedades/argenprop-10866889-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888332/comesana-propiedades/argenprop-10866889-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888334/comesana-propiedades/argenprop-10866889-5.webp
ZONA 140/67 1700,28000,USD,Casa,Venta,La Plata,Los Hornos,300,130,300,170,5,4,2,,,2 casa sobre lote 10 x 30 casa al frente 2 dor baño cocicna comedor entrada para 2 autos techados casa contrafrente entrada deauto para 2 autos 2 o 3 dor living comedor cocina patio se venden juntas o separadas. Se toman valores o permuta menor,-34.920494,-57.953568,30 años,,si,no,no,no,no,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888337/comesana-propiedades/argenprop-11530332-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888338/comesana-propiedades/argenprop-11530332-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888340/comesana-propiedades/argenprop-11530332-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888342/comesana-propiedades/argenprop-11530332-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888344/comesana-propiedades/argenprop-11530332-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888347/comesana-propiedades/argenprop-11530332-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888348/comesana-propiedades/argenprop-11530332-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888350/comesana-propiedades/argenprop-11530332-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888352/comesana-propiedades/argenprop-11530332-8.webp
"BOLIVAR 2900, Piso 9",94000,USD,Depto,Venta,Mar del Plata,Centro,52,52,,,3,2,1,,$ 15.000,"Excelente departamento reciclado , todo a nuevo y amueblado decorado con cortinas muebles y luces . Se entrega a estrenar con cocina heladera lavarropa automático calefon muebles alto y bajo mesada de cocina, se toma permuta menor o mayor valor valor",-37.99975,-57.55467,1 años,,no,si,no,no,no,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888356/comesana-propiedades/argenprop-12022011-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888357/comesana-propiedades/argenprop-12022011-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888359/comesana-propiedades/argenprop-12022011-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888361/comesana-propiedades/argenprop-12022011-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888363/comesana-propiedades/argenprop-12022011-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888364/comesana-propiedades/argenprop-12022011-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888366/comesana-propiedades/argenprop-12022011-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888367/comesana-propiedades/argenprop-12022011-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888369/comesana-propiedades/argenprop-12022011-8.webp
"150 45 Y 46 1200, Piso 0",95000,USD,Casa,Venta,La Plata,Los Hornos,550,150,500,400,4,2,1,2,,Casa terminar 2 plantas toma valores retasada noviembre 2.021,-34.95252,-57.99792,15 años,,si,si,si,no,no,si,si,
ZONA 137 Y 66 LOTE 10 X 40 1500,125000,USD,Casa,Venta,La Plata,Sin barrio,400,200,400,200,7,4,2,1,,Excelente propiedad detalles de categoria lote 10 x 40 permuta por propiedad en mar del plata o casa o departamneto menor valor en la plata zona parque san martin alrededores. Permuta tambien casa o departamento mar del plata,,,25 años,,si,no,si,si,si,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888374/comesana-propiedades/argenprop-11963498-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888375/comesana-propiedades/argenprop-11963498-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888377/comesana-propiedades/argenprop-11963498-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888379/comesana-propiedades/argenprop-11963498-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888381/comesana-propiedades/argenprop-11963498-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888383/comesana-propiedades/argenprop-11963498-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888385/comesana-propiedades/argenprop-11963498-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888386/comesana-propiedades/argenprop-11963498-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888388/comesana-propiedades/argenprop-11963498-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888390/comesana-propiedades/argenprop-11963498-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888392/comesana-propiedades/argenprop-11963498-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888393/comesana-propiedades/argenprop-11963498-11.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888395/comesana-propiedades/argenprop-11963498-12.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888399/comesana-propiedades/argenprop-11963498-13.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888401/comesana-propiedades/argenprop-11963498-14.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888402/comesana-propiedades/argenprop-11963498-15.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888404/comesana-propiedades/argenprop-11963498-16.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888406/comesana-propiedades/argenprop-11963498-17.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888408/comesana-propiedades/argenprop-11963498-18.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888409/comesana-propiedades/argenprop-11963498-19.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888411/comesana-propiedades/argenprop-11963498-20.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888413/comesana-propiedades/argenprop-11963498-21.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888414/comesana-propiedades/argenprop-11963498-22.webp
DUPLEX 156 Y 66,45000,USD,Casa,Venta,La Plata,Los Hornos,100,65,80,35,3,2,1,1,,Duplex zona 156 y 66 micro 307 y 506 esquina permuta dto centro la plata alrededores contado u$s 45.000 financia 30.000 y cuotas,,,5 años,,si,no,no,no,no,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888417/comesana-propiedades/argenprop-10458464-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888419/comesana-propiedades/argenprop-10458464-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888420/comesana-propiedades/argenprop-10458464-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888421/comesana-propiedades/argenprop-10458464-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888423/comesana-propiedades/argenprop-10458464-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888424/comesana-propiedades/argenprop-10458464-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888426/comesana-propiedades/argenprop-10458464-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888428/comesana-propiedades/argenprop-10458464-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888430/comesana-propiedades/argenprop-10458464-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888431/comesana-propiedades/argenprop-10458464-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888433/comesana-propiedades/argenprop-10458464-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888435/comesana-propiedades/argenprop-10458464-11.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888436/comesana-propiedades/argenprop-10458464-12.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888438/comesana-propiedades/argenprop-10458464-13.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888440/comesana-propiedades/argenprop-10458464-14.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888443/comesana-propiedades/argenprop-10458464-15.webp
Zona 16 y 72 meridiano 5to 2000,125000,USD,Casa,Venta,La Plata,Villa Elvira,600,210,500,390,2,0,2,2,,"Casa 2 plantas amplias dependencias, toma permuta 2 propiedades",-34.939926,-57.936405,20 años,,si,si,no,si,no,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888446/comesana-propiedades/argenprop-16869952-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888448/comesana-propiedades/argenprop-16869952-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888451/comesana-propiedades/argenprop-16869952-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888452/comesana-propiedades/argenprop-16869952-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888454/comesana-propiedades/argenprop-16869952-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888456/comesana-propiedades/argenprop-16869952-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888458/comesana-propiedades/argenprop-16869952-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888459/comesana-propiedades/argenprop-16869952-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888461/comesana-propiedades/argenprop-16869952-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888463/comesana-propiedades/argenprop-16869952-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888464/comesana-propiedades/argenprop-16869952-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888466/comesana-propiedades/argenprop-16869952-11.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888468/comesana-propiedades/argenprop-16869952-12.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888470/comesana-propiedades/argenprop-16869952-13.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888471/comesana-propiedades/argenprop-16869952-14.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888473/comesana-propiedades/argenprop-16869952-15.webp
AVENIDA 137 73 Y 74 PERMUTA,79000,USD,Terreno,Venta,La Plata,Los Hornos,300,10,,,2,0,1,,,"Lote sobre avenida 137 entre 73 y 74 con galpón de 300 mts cubiertos retasado antes 150.000 dolares retasado noviembre 2.021, 105.000 dolares tomo valores",,,,,no,no,no,no,no,no,no,
AVDA zona 161 Y 32 4/calles 500,240000,USD,Campo,Venta,La Plata,Melchor Romero,250,250,,,2,0,1,,,Importante fraccion ideal loteo o varios destinos toma valores - permuta menor financia consultas todo arbolado alambrado ocupado. Visitas fraccion sobre 4 calles,-34.879395,-58.010548,,,si,no,no,no,no,no,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888477/comesana-propiedades/argenprop-10956273-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888479/comesana-propiedades/argenprop-10956273-1.webp
30 entre 38 y 39 400,45000,USD,Depto,Venta,La Plata,Sin barrio,49,49,,,3,2,1,,,Departamento a la calle primer piso por escalera toma permuta menor valor lote auto,-34.92758,-57.984947,30 años,,no,no,no,no,no,si,si,
"Calle 61 entre 9 y 10 700, Piso pb",51500,USD,Depto,Venta,La Plata,Centro,80,60,,20,4,2,1,,,Venta departamento 61 entre 9 y 10 planta baja contra frente luminoso 2/dor baño living - estar comedor - 2 patios 61mts patios 20 mts cubiertos valor dolares 65.000 toma permuta menor valor. Retasado mayo 2022. Zona distintas facultades zona bellas artes a mts plaza moreno la catedral centro comercial calle 12 y calle 8 todo desarrollado en planta baja sin expensas,-34.92325,-57.942024,30 años,,no,no,si,no,no,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888483/comesana-propiedades/argenprop-10940979-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888484/comesana-propiedades/argenprop-10940979-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888486/comesana-propiedades/argenprop-10940979-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888488/comesana-propiedades/argenprop-10940979-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888489/comesana-propiedades/argenprop-10940979-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888490/comesana-propiedades/argenprop-10940979-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888492/comesana-propiedades/argenprop-10940979-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888494/comesana-propiedades/argenprop-10940979-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888495/comesana-propiedades/argenprop-10940979-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888497/comesana-propiedades/argenprop-10940979-9.webp
81 24 y 25 1500,18500,USD,Terreno,Venta,La Plata,Villa Elvira,544,10,,,2,0,1,,,,,,,,no,no,no,no,no,no,no,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888499/comesana-propiedades/argenprop-9045635-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888501/comesana-propiedades/argenprop-9045635-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888502/comesana-propiedades/argenprop-9045635-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888504/comesana-propiedades/argenprop-9045635-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888506/comesana-propiedades/argenprop-9045635-4.webp
ZONA 48 305 Y 306 EL RODEO,140000,USD,Quinta,Venta,La Plata,Estacion Gomez,1,160,1,840,4,3,2,2,,Excelente casa de 2 plantas 6 años de antiguedad. Hoy es utilizada como vivienda permanente. Tomo permuta en la plata se escuchan propuestas de permutas,,,6 años,,no,si,si,no,si,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888509/comesana-propiedades/argenprop-11983203-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888510/comesana-propiedades/argenprop-11983203-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888512/comesana-propiedades/argenprop-11983203-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888513/comesana-propiedades/argenprop-11983203-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888515/comesana-propiedades/argenprop-11983203-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888516/comesana-propiedades/argenprop-11983203-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888518/comesana-propiedades/argenprop-11983203-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888520/comesana-propiedades/argenprop-11983203-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888521/comesana-propiedades/argenprop-11983203-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888523/comesana-propiedades/argenprop-11983203-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888524/comesana-propiedades/argenprop-11983203-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888526/comesana-propiedades/argenprop-11983203-11.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888527/comesana-propiedades/argenprop-11983203-12.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888529/comesana-propiedades/argenprop-11983203-13.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888530/comesana-propiedades/argenprop-11983203-14.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888532/comesana-propiedades/argenprop-11983203-15.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888534/comesana-propiedades/argenprop-11983203-16.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888535/comesana-propiedades/argenprop-11983203-17.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888537/comesana-propiedades/argenprop-11983203-18.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888539/comesana-propiedades/argenprop-11983203-19.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888540/comesana-propiedades/argenprop-11983203-20.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888542/comesana-propiedades/argenprop-11983203-21.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888543/comesana-propiedades/argenprop-11983203-22.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888545/comesana-propiedades/argenprop-11983203-23.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888546/comesana-propiedades/argenprop-11983203-24.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888548/comesana-propiedades/argenprop-11983203-25.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888549/comesana-propiedades/argenprop-11983203-26.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888551/comesana-propiedades/argenprop-11983203-27.webp
696 entre 28 y 28 bis,95000,USD,Terreno,Venta,La Plata,Ignacio Correas Arana,2,95,,,2,0,1,,,Importante fracción estación correa fácil acceso . Micros 1 una cuadra escuela 1 cuadra . Ubicada en el centro de la estación correa fracción 95 de frente por calle 692 y 24. Mts en la esquina 28 bis y 24 metros esquina 28 ocupa las 3 calles se pueden dividir en 7 lotes retasado 29-8-21 antes 135.000 hoy venta 95.000 dólares,,,,,no,no,no,no,no,no,no,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888553/comesana-propiedades/argenprop-9017912-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888555/comesana-propiedades/argenprop-9017912-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888556/comesana-propiedades/argenprop-9017912-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888558/comesana-propiedades/argenprop-9017912-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779888559/comesana-propiedades/argenprop-9017912-4.webp
